"RecKey","PointLoc","PointNbr","TopCanopy","Lower1","Lower2","Lower3","Lower4","SoilSurface","HeightTop","ChkboxTop","ChkboxLower1","ChkboxLower2","ChkboxLower3","ChkboxLower4","ChkboxSoil","HeightLower1","HeightLower2","HeightLower3","HeightLower4","HeightSurface","HeightWoody","HeightHerbaceous","ShrubShape","SpeciesWoody","SpeciesHerbaceous","DateLoadedInDb","ChkboxWoody","ChkboxHerbaceous","Lower5","Lower6","Lower7","ChkboxLower5","ChkboxLower6","ChkboxLower7","HeightLower5","HeightLower6","HeightLower7","SpeciesLowerHerb","HeightLowerHerb","ChkboxLowerHerb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1904231010273278",0.5,1,"PLPA2","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",1,2,"ARTRW8","PLPA2","L","","","S","",1,0,0,0,0,0,NA,NA,NA,NA,NA,80,47,"S","ARTRW8","DEPI","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",1.5,3,"ARTRW8","DEPI","WL","L","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"S","","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",2,4,"ARTRW8","","","","","ARTRW8","",0,0,0,0,0,0,NA,NA,NA,NA,NA,154,56,"S","ARTRW8","DEPI","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",2.5,5,"ARTRW8","WL","L","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"S","","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",3,6,"ARFI2","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,83,0,"S","ARFI2","None","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",3.5,7,"ERNA10","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",4,8,"None","WL","L","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,29,0,NA,"ERNA10","None","2019-09-01",1,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",4.5,9,"None","","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",5,10,"CHVI8","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,57,11,NA,"CHVI8","PLPA2","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",5.5,11,"None","","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",6,12,"ARFI2","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,86,22,"S","ARFI2","DEPI","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",6.5,13,"ARFI2","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"S","","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",7,14,"ARFI2","L","","","","S","",0,0,0,0,0,0,NA,NA,NA,NA,NA,53,47,"S","ARFI2","DEPI","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
"1904231010273278",7.5,15,"CHVI8","L","","","","S","",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","","2019-09-01",0,0,"","","",0,0,0,"","","","","",0,"19042308550131962019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb",NA,NA,NA,NA
